adult_dose,adult_duration,adult_frequency,adult_max_dose,adult_route,disease_key,disease_name,dose_verified,duration_verified,final_rx_status,frequency_verified,generic_name,gold_regimen_row_id,icd10,indication_verified,line_of_therapy,modality,product_id,regimen_id,route_verified,safety_minimum_ready,source_ids
1–2 tabs PO TID–QID,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,gold_regimen_5e6a10659a13,,False,SWAP1,SWAP,BDS007973,FRM0009,False,False,
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_11be435a3285,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_ba7b7aecc4fe,,False,RX1,RX NOW,BDS003762,FRM0009,False,False,
1 tab PO q4–6h,3–5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_9db65a0073d1,,False,RX2,RX NOW,BDS045630,FRM0009,False,False,
1–2 tabs PO TID,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Dextromethorphan HBr 15 mg.,gold_regimen_c9417295acad,,False,RX3,RX NOW,BDS002211,FRM0009,False,False,
1–2 tabs PO TID–QID,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,gold_regimen_83c102674628,,False,SWAP1,SWAP,BDS007973,FRM0009,False,False,
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_6b176b039f60,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_2e342cd9b742,,False,RX1,RX NOW,BDS003762,FRM0009,False,False,
1 tab PO q4–6h,3–5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Brompheniramine Maleate 4 mg.+Phenylephrine HCl 10 mg.,gold_regimen_fe4a29e62fd0,,False,RX2,RX NOW,BDS045630,FRM0009,False,False,
1–2 tabs PO TID,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Dextromethorphan HBr 15 mg.,gold_regimen_5e4261388d7e,,False,RX3,RX NOW,BDS002211,FRM0009,False,False,
1–2 tabs PO TID–QID,3 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Dextromethorphan HBr 15 mg.+Glyceryl Guaiacolate 100 mg.+Terpin Hydrate 130 mg.,gold_regimen_01ceb748cb66,,False,SWAP1,SWAP,BDS007973,FRM0009,False,False,
1 tab PO OD,5 days,,,,uri_dry_cough_adult,Acute viral URI with dry cough,False,False,source_missing_hide_from_rx,False,Fexofenadine HCl 180 mg.,gold_regimen_68039811ff62,,False,SWAP2,SWAP,BDS003747,FRM0009,False,False,
1–2 tabs PO q4–6h PRN fever/pain,3 days,,,,sore_throat_adult,Acute sore throat / pharyngeal irritation,False,False,source_missing_hide_from_rx,False,Paracetamol 500 mg.,gold_regimen_282a4344c811,,False,RX1,RX NOW,BDS003762,FRM0006,False,False,
