query_id,priority,product_id,product_name,generic_name,disease_key,source_category,source_target,query,expected_fields,retrieval_status,notes
gq_65aec29e86ca,A,BDS003679,Systane Ultra Lubricant Eye Drops [Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%)],Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%),screen_related_dry_eye_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,screen_related_dry_eye_adult guideline Polyethylene Glycol 400 0.4%+Propylene Glycol 0.3%+Aminomethylpropanol+//Boric Acid+Hydroxypropyl guar+Potassium Chloride+Sodium Chloride+Sorbitol+Hydrochloric Acid+Sodium Hydroxide+Preservative (Polyquaternium-1 0.001%) dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_ffc40cd58142,A,BDS002430,Kamistad-Gel N [Lidocaine HCl 20 mg.+Chamomile Flower Extract 185 mg.+Ethanol 50% v/v+Tromethamole 1.37% w/w+Preservative (Benzalkonium Chloride 1 mg.)/1 g.],Lidocaine HCl 20 mg.+Chamomile Flower Extract 185 mg.+Ethanol 50% v/v+Tromethamole 1.37% w/w+Preservative (Benzalkonium Chloride 1 mg.)/1 g.,aphthous_ulcer_pain_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,aphthous_ulcer_pain_adult guideline Lidocaine HCl 20 mg.+Chamomile Flower Extract 185 mg.+Ethanol 50% v/v+Tromethamole 1.37% w/w+Preservative (Benzalkonium Chloride 1 mg.)/1 g. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_6bfb85e9e877,A,BDS007549,Kenalone Oral Paste 5 g [Triamcinolone Acetonide 0.1%],Triamcinolone Acetonide 0.1%,aphthous_ulcer_pain_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,aphthous_ulcer_pain_adult guideline Triamcinolone Acetonide 0.1% dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_7250ee399c40,A,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,aphthous_ulcer_pain_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,aphthous_ulcer_pain_adult guideline Paracetamol 500 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_296d88de7b15,A,BDS044320,Klean & Kare Saline เล็ก [Sodium Chloride 0.9 g./100 ml.],Sodium Chloride 0.9 g./100 ml.,nasal_dryness_irritation_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,nasal_dryness_irritation_adult guideline Sodium Chloride 0.9 g./100 ml. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_a038852cac2a,A,BDS002805,Nasonex 60 doses [Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g)],Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g),nasal_dryness_irritation_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,nasal_dryness_irritation_adult guideline Mometasone Furoate Monohydrate (eq. to Mometasone Furoate 50 mcg/dose)+Preservative (Benzalkonium Chloride 0.2 mg/g) dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_4696a74cc174,A,BDS004213,Zyrtec [Cetirizine dihydrochloride 10 mg.],Cetirizine dihydrochloride 10 mg.,nasal_dryness_irritation_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,nasal_dryness_irritation_adult guideline Cetirizine dihydrochloride 10 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_7c23d68a88ec,A,BDS001255,Bisolvon [Bromhexine HCl 8 mg.],Bromhexine HCl 8 mg.,mild_mucolytic_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,mild_mucolytic_support_adult guideline Bromhexine HCl 8 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_6b4226b17d3f,A,BDS002655,Mucolid [Ambroxol HCl 30 mg.],Ambroxol HCl 30 mg.,mild_mucolytic_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,mild_mucolytic_support_adult guideline Ambroxol HCl 30 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_2cca765c9414,A,BDS002901,Nac Long [Acetylcysteine 600 mg.],Acetylcysteine 600 mg.,mild_mucolytic_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,mild_mucolytic_support_adult guideline Acetylcysteine 600 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_0ecb0854560a,A,BDS003762,Tylenol 500 mg strip 10s [Paracetamol 500 mg.],Paracetamol 500 mg.,tonsillar_inflammation_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,tonsillar_inflammation_support_adult guideline Paracetamol 500 mg. dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_53946f563899,A,BDS002411,Kamillosan-M Spray [ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล],ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล,tonsillar_inflammation_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,tonsillar_inflammation_support_adult guideline ดอกหญ้าหอม+เพเพอร์มิ้นต์+เซจ ออยล์+เทียนสัตบุษย์+ไพน์ นีดเดิล ออยล์+เบอร์กามอต ออยล์+ยูคาลิปทอล dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
gq_4003956c3609,A,BDS003574,"Strepsils Citrus Lemon SF HHR ซอง 6s [2,4-Dichlorobenzyl Alcohol 1.2 mg.+Amylmetacresol 0.6 mg.]","2,4-Dichlorobenzyl Alcohol 1.2 mg.+Amylmetacresol 0.6 mg.",tonsillar_inflammation_support_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,"tonsillar_inflammation_support_adult guideline 2,4-Dichlorobenzyl Alcohol 1.2 mg.+Amylmetacresol 0.6 mg. dose duration",indication; adult dose; route; frequency; duration; red flags,queued,
gq_e749e33ea90b,A,BDS001057,Aristocort 0.02% [Triamcinolone Acetonide 0.02%],Triamcinolone Acetonide 0.02%,eczema_dry_pruritic_adult,disease_guideline,Thai RDU/MOPH/NICE/CDC,eczema_dry_pruritic_adult guideline Triamcinolone Acetonide 0.02% dose duration,indication; adult dose; route; frequency; duration; red flags,queued,
