bds,product_name,generic_group,category,form,pediatric_target_status,supported_target_modes,default_target_mode,default_target_value,default_target_unit,fixed_amount_min_per_dose,fixed_amount_max_per_dose,fixed_amount_unit,reference_source_product,reference_source_shortcut,reference_frequency,reference_duration,reference_dispense,same_generic_reference_count,same_generic_reference_disease_keys,notes
BDS040006,Amaryl 2 mg (10 tabs),Glimepiride,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001649,Dipazide (10 tabs),Glipizide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS043603,Glizide (15 tabs),Glipizide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS043611,Glycediab 5 mg (10 tabs),Glipizide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002628,Minidiab (15 tabs),Glipizide,Diabetes,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001521,Coxium (30 sachets),Glucosamine Sulfate NaCl,Osteoarthritis support,powder / sachet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001003,Viaflex 1500 (30 sachets),Glucosamine Sulfate Sodium Chloride,Osteoarthritis support,powder / sachet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001705,Viartril-S (30 sachets),Glucosamine Sulphate,Osteoarthritis support,powder / sachet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007743,Glucosa 1500 ชนิดผง (10 sachets),Glucosamine sulfate sodium,Osteoarthritis support,powder / sachet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS043605,Glucosa 1500 ชนิดผง (รสมะนาว) (10 sachets),Glucosamine sulfate sodium,Osteoarthritis support,powder / sachet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007739,Glucosa 500 (10 cap),Glucosamine sulfate sodium,Osteoarthritis support,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007225,Osteotin 500 (10 cap),Glucosamine sulfate sodium,Osteoarthritis support,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006463,Glymorin Children Suppositories (10 sticks),Glycerin,Laxatives & bowel care,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006743,Glymorin Suppositories (10 sticks),Glycerin,Laxatives & bowel care,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001443,Cesoline W (10 tabs),Hydralazine HCl,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006802,GPO - HCTZ 25 (10 tabs),Hydrochlorothiazide,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS006801,GPO - HCTZ 50 (10 tabs),Hydrochlorothiazide,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001480,HCTZ 25 (10 tabs),Hydrochlorothiazide,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002633,Moduretic (10 tabs),Hydrochlorothiazide + Amiloride HCl,Hypertension & cardiovascular,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001685,Doproct Ointment (10 g.),Hydrocortisone Acetate + Zinc Oxide + Benzocaine,Hemorrhoids & venous disease,ointment,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001605,Doproct Suppository (10 sticks),Hydrocortisone Acetate + Zinc Oxide + Benzocaine /1 Suppository,Hemorrhoids & venous disease,suppository,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS003167,Proctosedyl Ointment (15 g.),Hydrocortisone BP + Cinchocaine HCl BP + Aesculin,Hemorrhoids & venous disease,ointment,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS003162,Proctosedyl Suppositories (12 sticks),Hydrocortisone Micronized + Cinchocaine HCl /1 Suppository,Hemorrhoids & venous disease,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002886,Natear (10 ml.),Hydroxypropyl Methylcellulose USP 0.3%,Eye care & ocular lubricants,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS003014,Opsil Tears 0.3% (10 ml.),Hydroxypropyl Methylcellulose USP 0.3%,Eye care & ocular lubricants,other,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007702,Allerax-FC (10 tabs),Hydroxyzine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS008701,Hydrox-25 (10 tabs),Hydroxyzine HCl,Antihistamines & decongestants,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007061,Cencopan-S (10 tabs),Hyoscine-N-butylbromide,Antispasmodics & abdominal cramps,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007284,Scopas S/C tabslets (10 tabs),Hyoscine-N-butylbromide,Antispasmodics & abdominal cramps,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS046204,OcuFreshs Tear Eye Drops (10 ml.),Hypromellose,Eye care & ocular lubricants,eye drops,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002031,Genteal Gel (10 g.),Hypromellose + Carbomer 980 + Sorbitol + Sodium hydroxide,Eye care & ocular lubricants,gel,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002107,Genteal Eye Drop (10 ml.),Hypromellose + Sodium Chloride + Boric Acid + Potassium Chloride,Eye care & ocular lubricants,eye drops,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS045617,Natear UD Lubricant Eye Drops (7 tubes),Hypromellose 0.3% w/v,Eye care & ocular lubricants,eye drops,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS047647,Sof Tear Eye Drops (5 ml.),Hypromellose USP,Eye care & ocular lubricants,eye drops,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS003117,Perskindol Cool Spray (250 ml.),I-Menthol,Topical pain relief & topical NSAIDs,spray,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS040016,Adavil F/C tabslets (10 tabs),Ibuprofen,General analgesics & antipyretics,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS040623,Brusoft 400 (10 cap),Ibuprofen,General analgesics & antipyretics,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS007040,Cefen 400P (10 tabs),Ibuprofen,General analgesics & antipyretics,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS001618,Duran (10 tabs),Ibuprofen,General analgesics & antipyretics,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS002036,Greatofen-400 mg (10 tabs),Ibuprofen,General analgesics & antipyretics,tablet,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
BDS045600,Nurofen Zavance (10 cap),Ibuprofen,General analgesics & antipyretics,capsule,no_pediatric_target_found,,,,,,,,,,,,,0,,No pediatric reference and no parseable concentration found in current workbook.
